x	y	angle	response
3.35442	567.029	132.295	0.0237122
3.35442	567.029	348.293	0.0237122
3.46949	573.82	330.672	0.0181112
3.75736	518.719	303.447	0.0158301
4.41923	480.337	21.3923	0.0167497
4.41923	480.337	179.675	0.0167497
5.31922	557.332	129.722	0.0140075
5.53569	577.007	328.366	0.016361
5.55269	176.787	178.883	0.0465813
5.55269	176.787	265.005	0.0465813
5.75775	565.509	135.868	0.0205551
5.75775	565.509	331.578	0.0205551
5.97832	212.193	189.474	0.0181787
6.42142	337.829	37.5284	0.016753
6.42142	337.829	234.26	0.016753
6.42142	337.829	332.894	0.016753
8.08019	560.074	128.576	0.0174031
8.39439	568.96	137.238	0.0181806
8.95961	328.412	257.184	0.0138554
9.17067	436.609	267.974	0.0135646
10.5125	556.873	283.371	0.0151213
10.5392	167.407	173.422	0.0613079
10.5392	167.407	306.404	0.0613079
10.9479	331.968	318.768	0.0141638
11.3728	647.268	70.4579	0.021807
11.3728	647.268	218.208	0.021807
11.4389	179.394	186.725	0.0289118
11.7553	568.862	146.573	0.0147632
11.9316	345.051	352.997	0.0161132
12.0013	655.343	189.101	0.0139187
12.1742	213.271	195.809	0.013694
12.7735	548.212	325.876	0.0150933
12.8264	332.931	322.03	0.0144727
12.8516	445.132	271.205	0.0135889
14.0522	442.202	274.941	0.0144802
14.133	538.363	314.173	0.0197051
14.4212	216.259	209.494	0.0142828
14.4739	643.546	218.951	0.0220962
15.8911	342.037	143.051	0.0170488
15.92	535.306	311.872	0.0174393
16.4523	559.938	327.649	0.0221233
16.5173	571.223	333.951	0.0143435
16.6556	645.65	57.8199	0.0184326
17.9973	528.243	331.606	0.0168571
18.4972	167.293	306.388	0.044769
18.8298	177.346	242.359	0.0314152
19.8062	152.616	127.562	0.0539936
20.9648	480.2	158.133	0.0159359
21.2508	642.717	7.79697	0.0142297
22.0382	572.798	341.709	0.0141548
23.3091	504.794	177.221	0.013826
23.5714	230.513	198.101	0.0237662
23.5714	230.513	312.761	0.0237662
24.4945	162.05	219.406	0.0220002
27.1377	467.817	311.823	0.0140416
27.9058	522.566	158.469	0.0156094
28.5656	192.652	318.632	0.0307466
28.6576	168.441	215.068	0.0385622
30.4994	469.666	144.77	0.0147762
30.4994	469.666	317.716	0.0147762
30.5889	441.194	293.058	0.0143722
30.719	217.276	261.008	0.0175436
32.0024	351.403	85.2727	0.0192755
32.2793	247.29	20.051	0.0190721
32.2793	247.29	108.384	0.0190721
32.3265	1097.04	15.6479	0.0190112
32.5248	50.2851	138.517	0.0270944
32.6395	185.256	196.267	0.0931472
32.6942	174.545	46.2437	0.0349512
33.0262	447.392	305.706	0.0207447
33.2397	1089.8	358.85	0.0182037
33.3648	356.428	90.4643	0.0184589
33.3648	356.428	272.491	0.0184589
34.9826	676.749	188.456	0.0216521
34.9995	176.719	0.433624	0.0382905
34.9995	176.719	55.4409	0.0382905
37.0401	257.755	16.8367	0.0170739
37.0401	257.755	121.554	0.0170739
37.7884	235.729	10.4986	0.0140872
37.9208	173.157	180.853	0.0664526
37.96	485.106	357.833	0.0142592
38.5644	350.197	90.8602	0.016654
38.5644	350.197	264.798	0.016654
39.3141	215.772	168.414	0.0269133
40.4988	450.713	175.366	0.0136534
40.4988	450.713	332.823	0.0136534
40.7003	225.122	350.941	0.0223149
40.7294	212.744	269.322	0.019626
41.1648	347.979	84.3418	0.0190522
41.1648	347.979	267.881	0.0190522
41.7386	1046.96	8.64929	0.0259007
42.3301	1073.33	4.84787	0.0315075
42.4153	350.369	263.22	0.0133615
43.0232	1093	82.5802	0.0197463
43.0232	1093	270.024	0.0197463
44.3495	464.694	6.54932	0.0170005
44.4809	60.409	140.239	0.0148531
44.4852	453.806	328.186	0.0149922
46.0372	986.69	7.09326	0.0261702
46.6004	63.4393	141.49	0.0135494
46.8632	563.436	176.638	0.0145859
47.1111	538.599	202.824	0.0142374
47.4513	212.809	347.46	0.0163386
48.2864	542.323	33.6739	0.014703
48.4377	533.988	171.949	0.0159191
49.5925	965.612	358.162	0.0217052
50.2481	156.648	131.348	0.0271744
50.2481	156.648	186.02	0.0271744
51.0826	525.436	190.705	0.0188395
51.0862	73.665	152.579	0.0242471
51.4262	514.664	191.069	0.0199952
51.5495	564.546	184.722	0.0143969
52.3235	541.513	179.568	0.0192539
53.075	1038.49	93.0102	0.0152535
53.075	1038.49	267.506	0.0152535
53.2469	136.777	150.464	0.0266047
55.4452	492.885	188.645	0.0138902
55.596	171.627	192.16	0.0226802
55.9445	1032.18	154.674	0.0155145
56.0902	548.776	172.659	0.0283072
56.4819	116.939	198.089	0.0135363
56.4819	116.939	275.065	0.0135363
56.5102	947.908	66.0837	0.0233565
56.8594	961.809	27.6191	0.0353659
58.1073	528.098	181.287	0.0270002
58.7649	1019.24	187.795	0.0137344
59.4082	211.644	274.952	0.0255961
59.4082	211.644	350.44	0.0255961
59.4373	888.576	265.949	0.0267133
59.6813	987.284	270.208	0.0146644
59.8149	504.858	208.455	0.0218743
60.2365	876.444	6.97021	0.0452209
60.6486	1037.06	13.7883	0.0165717
60.8863	512.863	194.38	0.0279243
61.3046	962.733	57.3889	0.0307643
61.386	497.124	228.758	0.0184024
61.6281	1025.32	17.1561	0.0211058
62.221	943.691	36.9151	0.0294526
62.3807	113.705	286.761	0.0140523
62.9135	886.955	270.844	0.0253076
64.3667	1013	184.602	0.0205383
64.6056	990.188	90.1774	0.0197479
64.8898	845.366	16.8942	0.0367042
65.0121	1000.07	3.6972	0.0199577
65.0121	1000.07	186.624	0.0199577
65.0121	1000.07	234.459	0.0199577
65.0939	955.931	53.5601	0.0380235
65.0939	955.931	229.522	0.0380235
65.1431	479.003	194.32	0.0250613
65.2151	973.263	270.144	0.0168132
65.2753	930.167	19.5665	0.0287501
65.5719	892.831	358.453	0.0300541
66.2631	857.28	9.67865	0.0586808
66.3142	906.427	346.744	0.0280092
66.3297	993.563	89.9363	0.013797
66.9129	936.62	26.5538	0.0242844
68.0029	818.752	238.026	0.0288808
68.0029	818.752	357.481	0.0288808
68.3015	1021.19	25.7773	0.015484
68.7851	113.948	1.19232	0.0148553
68.9681	831.082	29.9386	0.0547273
69.3438	894.694	17.384	0.0199409
69.8194	875.897	102.893	0.019078
70.0564	809.593	21.356	0.0196399
70.0922	897.927	27.3725	0.0244082
70.2184	881.266	24.3082	0.0327167
70.3243	860.468	203.486	0.0285474
70.5654	913.449	18.1085	0.0201627
71.3319	849.73	101.025	0.0223718
71.3319	849.73	270.291	0.0223718
71.5119	865.423	277.605	0.0176675
72.2058	954.255	21.209	0.0457369
72.2815	871.19	25.1252	0.0564165
72.3758	795.983	18.2994	0.0140449
72.3758	795.983	98.6657	0.0140449
72.4242	916.972	18.3136	0.0310593
72.6843	994.99	91.9022	0.0143847
72.8342	811.682	14.9609	0.0339864
73.3573	824.769	87.7402	0.0334106
73.5723	829.473	90.1838	0.0679445
74.6014	929.337	13.3705	0.0304028
75.0234	806.667	140.667	0.0277931
75.1695	990.51	90.9089	0.0226093
75.5477	916.401	341.491	0.0199017
76.0866	813.771	245.507	0.0260284
76.239	884.589	21.6544	0.0356452
76.2994	946.053	25.4497	0.0245447
76.4795	802.849	128.59	0.0141398
76.9725	747.958	9.51874	0.0219582
76.9725	747.958	237.7	0.0219582
77.0942	973.13	265.756	0.0173371
77.4701	876.74	30.4651	0.0318175
77.9503	908.569	349.948	0.0292617
78.0326	805.609	148.11	0.0181735
78.5146	776.301	0.580872	0.0142163
78.5146	776.301	87.027	0.0142163
78.5453	739.476	247.705	0.0179468
78.6586	864.656	19.1991	0.0398118
79.1751	945.773	22.2659	0.0246175
79.6087	821.802	89.2673	0.0468567
79.8543	743.019	120.675	0.0142325
79.8543	743.019	247.908	0.0142325
79.8972	834.534	269.802	0.0395887
79.9203	816.573	239.423	0.0163147
80.0276	927.722	167.838	0.0322036
80.2489	815.599	234.257	0.0164293
80.261	804.298	72.5647	0.0189646
80.261	804.298	106.927	0.0189646
80.3037	936.692	21.8168	0.0373301
81.4131	932.756	110.539	0.0266426
81.5553	947.376	184.629	0.0187417
81.9368	867.422	19.5936	0.0359279
82.3634	923.415	88.1676	0.0192267
82.3634	923.415	325.481	0.0192267
82.4232	952.993	192.676	0.0164367
83.0602	717.953	3.38333	0.0285373
83.9265	930.088	3.63132	0.0243884
83.9265	930.088	330.14	0.0243884
84.0468	990.765	100.933	0.0166801
84.0468	990.765	259.051	0.0166801
84.0582	987.021	238.723	0.015592
84.6678	987.449	247.494	0.0160514
84.8456	816.661	317.904	0.0264292
