x	y	angle	response
3.30519	566.923	132.313	0.0239371
3.30519	566.923	348.416	0.0239371
3.43372	573.769	330.925	0.0182029
3.74349	518.706	303.645	0.0157542
4.4009	480.371	21.4846	0.0169157
4.4009	480.371	179.383	0.0169157
5.34289	557.376	129.718	0.013999
5.51218	576.986	328.326	0.0167342
5.53119	176.767	178.972	0.0465528
5.53119	176.767	264.941	0.0465528
5.76391	565.509	135.729	0.0210102
5.76391	565.509	331.689	0.0210102
5.95957	212.198	189.902	0.0178708
6.43396	337.833	37.7472	0.0167535
6.43396	337.833	234.71	0.0167535
6.43396	337.833	330.098	0.0167535
8.07496	560.077	128.512	0.017533
8.44359	569.026	136.939	0.0182069
8.51338	480.68	180.932	0.0148782
8.99827	328.356	257.658	0.014162
9.17373	436.593	268.282	0.013636
10.5019	556.854	284.176	0.0149822
10.5263	167.404	173.415	0.0613013
10.5263	167.404	306.48	0.0613013
10.9113	572.278	142.133	0.0135341
11.4308	179.413	186.696	0.0292284
11.7887	568.934	144.176	0.014925
11.9696	345.058	353.283	0.0161133
11.9769	655.392	189.002	0.0142424
12.1217	213.258	196.023	0.0138688
12.8128	548.238	326.115	0.0150349
12.8345	445.106	271.113	0.0134873
12.8382	332.968	322.492	0.0148085
14.0643	442.204	273.406	0.0143574
14.1116	538.36	314.654	0.0199054
14.4103	216.249	209.406	0.0144238
14.4666	643.541	218.891	0.0223122
14.5992	532.023	323.973	0.0158125
15.8841	342.054	143.575	0.0173522
15.916	535.316	311.76	0.0172756
16.4631	559.954	327.748	0.0223454
16.5308	571.232	333.952	0.0142661
16.6408	645.678	57.9017	0.0181317
17.0254	338.984	322.339	0.0150983
17.947	592.813	80.7833	0.0134016
17.967	528.234	331.546	0.0171864
18.4763	167.274	306.409	0.0446167
18.8057	177.351	242.916	0.031437
19.78	152.619	127.52	0.053704
20.9605	480.217	156.97	0.0159699
21.2256	642.688	7.7937	0.0144216
21.2256	642.688	205.768	0.0144216
21.9899	572.726	340.463	0.0138875
23.5535	230.525	198.015	0.0246448
23.5535	230.525	313.026	0.0246448
24.4752	162.034	219.782	0.0217169
25.3644	461.844	122.076	0.0253984
26.8695	40.8205	130.253	0.0134795
27.1194	467.779	312.382	0.014085
27.9008	522.504	157.584	0.0156588
28.5688	192.657	318.622	0.0308546
28.651	168.425	215.092	0.0385434
29.9	486.459	2.86353	0.0164008
30.4666	217.313	91.4104	0.017451
30.4666	217.313	262.863	0.017451
30.4775	469.642	144.705	0.0151165
30.4775	469.642	317.762	0.0151165
30.5838	441.194	294.475	0.0147336
32.0197	351.384	85.519	0.0189828
32.2421	247.289	20.6485	0.019779
32.2421	247.289	108.374	0.019779
32.2979	1097.06	15.5999	0.0189572
32.5205	50.2853	138.559	0.026954
32.6265	185.257	196.258	0.0931781
32.7012	174.534	46.2612	0.0349057
32.9893	447.392	307.528	0.0205686
33.3144	356.403	91.3592	0.018835
33.3144	356.403	272.178	0.018835
34.7801	328.238	261.678	0.0149176
34.9837	676.729	188.236	0.0216537
35.0134	176.707	0.476349	0.0381211
35.0134	176.707	55.1605	0.0381211
35.067	474.511	336.248	0.0134011
36.908	257.448	14.809	0.0175135
36.908	257.448	120.892	0.0175135
37.7315	235.821	10.4462	0.0145381
37.9153	173.139	180.75	0.0665311
37.9714	485.154	357.832	0.0144782
38.6283	350.19	90.9471	0.0162753
38.6283	350.19	264.865	0.0162753
39.3002	215.763	170.195	0.0268675
40.6904	225.115	351.418	0.022718
41.1795	347.977	84.4425	0.0190681
41.1795	347.977	268.003	0.0190681
41.7806	1046.94	8.65881	0.0259886
42.0261	211.622	268.312	0.0200339
42.3252	1073.33	4.90063	0.0314997
42.9565	1093.01	82.6147	0.0198008
42.9565	1093.01	270.005	0.0198008
44.3576	464.739	6.61758	0.0171873
44.4702	453.838	328.038	0.0150075
44.5033	60.4236	140.468	0.0149107
46.0089	986.711	7.06793	0.0260739
46.5976	63.3581	141.355	0.0133735
46.7876	563.387	176.587	0.0145165
47.159	538.561	203.188	0.0143801
47.4795	212.926	347.395	0.0165026
48.4244	534.042	171.963	0.0159376
48.8941	66.4212	141.652	0.0139135
49.5914	965.654	358.218	0.0217359
50.2325	156.644	131.237	0.0269898
50.2325	156.644	185.773	0.0269898
51.0275	525.484	190.793	0.0188236
51.1019	73.6989	153.304	0.0239901
51.4126	514.687	191.066	0.0200219
51.7852	564.586	184.491	0.0143565
51.9822	548.856	177.119	0.0134611
52.3223	541.531	179.542	0.0195437
53.0735	1038.51	93.0704	0.015289
53.0735	1038.51	267.699	0.015289
53.3274	136.817	150.452	0.0267569
55.4343	492.931	188.621	0.0139073
55.9698	1032.17	154.62	0.015547
56.0807	548.768	173.073	0.0284001
56.4919	116.965	198.612	0.0136679
56.8605	961.789	27.65	0.0355825
58.0864	528.179	181.297	0.0270689
59.3825	211.642	275.025	0.0256015
59.3825	211.642	350.582	0.0256015
59.428	888.576	266.073	0.0265871
59.6705	987.288	270.022	0.0144345
59.7939	504.874	209.157	0.021923
60.2214	876.431	6.99091	0.0452968
60.6385	1037.1	13.8092	0.0165282
60.8816	512.835	194.403	0.028044
61.2926	962.739	57.6817	0.0309627
61.3854	497.136	228.773	0.0184486
61.6166	1025.31	17.123	0.0210232
62.2107	943.679	36.2939	0.0296145
62.3567	113.727	286.73	0.0140396
62.9349	886.954	270.848	0.0252512
64.376	1012.98	184.726	0.0204735
64.6149	990.191	90.1913	0.0195434
64.892	845.363	16.9144	0.0365414
65.0037	1000.09	2.58337	0.0200114
65.0037	1000.09	186.584	0.0200114
65.0037	1000.09	234.118	0.0200114
65.0785	955.933	53.6072	0.0380549
65.0785	955.933	229.55	0.0380549
65.1059	479.04	194.342	0.0250415
65.1194	501.376	229.577	0.0290584
65.1596	973.261	270.106	0.0169039
65.2475	930.204	19.5667	0.0287004
65.5673	892.849	358.316	0.0300362
66.2564	857.28	9.67969	0.0588049
66.3001	906.493	346.858	0.0279523
66.3985	993.549	89.9511	0.0135831
66.9501	936.589	26.4461	0.0246069
67.6004	848.985	270.606	0.0180499
67.9813	818.767	357.719	0.0289572
68.2714	1021.21	25.831	0.0153289
68.7455	113.975	1.78464	0.014946
68.9546	831.09	29.6118	0.0548651
69.3364	894.712	17.6679	0.0202014
69.7408	925.405	4.6376	0.024014
69.8447	875.856	97.1273	0.0187935
70.0462	809.593	21.5632	0.0201132
70.1112	897.939	27.4112	0.0243162
70.1817	881.311	23.8596	0.0326507
70.3197	860.496	203.474	0.0286157
70.5425	913.485	18.2901	0.0202709
71.3801	849.726	101.03	0.022443
71.3801	849.726	270.287	0.022443
71.5302	865.415	277.996	0.0177848
72.2301	954.238	20.782	0.0457758
72.2726	871.186	25.1234	0.0564525
72.4202	916.908	18.6601	0.0311731
72.4507	796.021	18.8607	0.0140988
72.4507	796.021	98.6733	0.0140988
72.5615	995.041	91.4738	0.0142637
72.8059	811.666	14.9619	0.0341489
73.5533	829.478	90.1777	0.0680236
74.6022	929.314	13.2904	0.0304554
75.0043	806.69	140.588	0.0277128
75.1568	990.512	90.8527	0.0225098
75.5253	916.398	341.506	0.0197288
76.0617	813.773	245.566	0.0257739
76.2443	884.604	21.7136	0.0357802
76.2973	946.019	25.3373	0.0246577
76.9603	747.95	9.5769	0.0219787
76.9603	747.95	237.623	0.0219787
77.0358	973.142	266.978	0.0173938
77.9563	908.573	349.879	0.0293158
78.0461	805.594	148.591	0.0179594
78.3864	864.814	19.1485	0.0394543
78.4806	776.278	86.5175	0.014162
78.4806	776.278	359.918	0.014162
78.5748	739.474	248.773	0.0182916
79.1597	945.774	21.748	0.0246246
79.5817	821.819	89.3494	0.0467822
79.8474	743.003	120.587	0.0144562
79.8474	743.003	248.009	0.0144562
79.8955	834.538	269.809	0.0394421
80.0292	927.733	167.874	0.0323444
80.1004	815.887	235.08	0.0163499
80.2393	804.313	72.752	0.018994
80.2393	804.313	107.487	0.018994
80.3092	936.706	21.8024	0.0374866
80.3751	937.081	22.5317	0.0371467
81.5502	947.47	184.183	0.0185502
81.941	867.419	19.5181	0.0359867
82.3561	923.413	88.3042	0.0191846
82.3561	923.413	326.277	0.0191846
82.435	953.056	192.582	0.0163899
83.0166	717.973	3.08017	0.0289274
83.9207	930.099	3.16788	0.0245064
83.9207	930.099	332.734	0.0245064
84.0036	986.972	239.287	0.0155943
84.0225	990.783	101.31	0.0164039
84.0225	990.783	259.005	0.0164039
84.6887	987.427	247.374	0.015962
84.8119	816.676	125.15	0.0261395
84.8119	816.676	317.36	0.0261395
85.6359	863.201	23.2862	0.0413227
85.658	677.34	6.73505	0.0165529
85.8367	807.114	61.8625	0.0308077
86.095	912.767	198.694	0.0196759
86.1785	900.2	210.462	0.0275371
86.4812	893.92	229.572	0.0312265
86.6894	812.763	227.781	0.0252876
86.8382	849.727	51.2539	0.0326973
87.0834	676.814	7.50995	0.0181766
87.1632	832.738	214.575	0.014142
87.4281	855.592	44.0927	0.0314922
87.7838	814.742	4.29752	0.0228593
88.1054	765.493	342.338	0.0168117
88.1593	654.416	13.0289	0.0153792
88.3027	955.958	124.771	0.0460172
88.6813	665.761	8.35077	0.0200712
88.7125	990.722	240.894	0.0201113
89.1265	911.521	21.9119	0.0239196
89.1924	918.585	22.4028	0.014699
89.7165	870.943	158.381	0.0174488
89.8217	904.891	186.681	0.0180114
89.9881	809.005	228.498	0.0187418
90.0905	1005.93	189.062	0.0153226
90.3866	840.534	44.9262	0.0269598
90.4364	966.896	263.697	0.0146198
90.4748	820.966	30.3402	0.0262133
90.4748	820.966	178.964	0.0262133
90.7196	949.499	192.387	0.0289718
90.9892	1036.09	9.08383	0.0214209
